"";"azimut.class";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;2;0,03125;1;"OSO"
"2";2;10;0,15625;1;"SSO"
"3";3;18;0,28125;1;"SSE"
"4";4;7;0,109375;1;"ESE"
"5";5;8;0,125;1;"ENE"
"6";6;7;0,109375;1;"NNE"
"7";7;11;0,171875;1;"NNO"
"8";8;1;0,015625;1;"ONO"
"9";1;3;0,0909090909090909;3;"OSO"
"10";2;3;0,0909090909090909;3;"SSO"
"11";3;9;0,272727272727273;3;"SSE"
"12";4;7;0,212121212121212;3;"ESE"
"13";6;1;0,0303030303030303;3;"NNE"
"14";7;3;0,0909090909090909;3;"NNO"
"15";8;7;0,212121212121212;3;"ONO"
"16";1;1;0,015625;2;"OSO"
"17";2;22;0,34375;2;"SSO"
"18";3;6;0,09375;2;"SSE"
"19";4;7;0,109375;2;"ESE"
"20";5;6;0,09375;2;"ENE"
"21";6;12;0,1875;2;"NNE"
"22";7;2;0,03125;2;"NNO"
"23";8;8;0,125;2;"ONO"
"24";1;3;0,09375;4;"OSO"
"25";2;2;0,0625;4;"SSO"
"26";3;2;0,0625;4;"SSE"
"27";4;14;0,4375;4;"ESE"
"28";5;4;0,125;4;"ENE"
"29";7;5;0,15625;4;"NNO"
"30";8;2;0,0625;4;"ONO"
