"";"azimut.class";"prior";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;"no";1;0,015625;1;"OSO"
"2";1;"yes";1;0,015625;1;"OSO"
"3";2;"no";4;0,0625;1;"SSO"
"4";2;"yes";6;0,09375;1;"SSO"
"5";3;"no";8;0,125;1;"SSE"
"6";3;"yes";10;0,15625;1;"SSE"
"7";4;"no";5;0,078125;1;"ESE"
"8";4;"yes";2;0,03125;1;"ESE"
"9";5;"no";4;0,0625;1;"ENE"
"10";5;"yes";4;0,0625;1;"ENE"
"11";6;"no";1;0,015625;1;"NNE"
"12";6;"yes";6;0,09375;1;"NNE"
"13";7;"no";8;0,125;1;"NNO"
"14";7;"yes";3;0,046875;1;"NNO"
"15";8;"no";1;0,015625;1;"ONO"
