"";"id";"id2";"track";"azimut";"prior";"azimut.class"
"1";1;1;"10";-16,3648181456266;"no";4
"11";1;2;"11";-8,76031166436468;"no";4
"12";1;3;"12";-5,8879306083353;"yes";4
"13";1;4;"16";0;"no";4
"14";1;5;"18";-120,176492463759;"no";2
"15";1;6;"22";8,46835843503987;"no";5
"16";1;7;"25";-23,0589302822594;"no";4
"17";1;8;"26";0;"yes";4
"18";1;9;"27";-19,882490701575;"yes";4
"19";1;10;"29";-17,2835579509752;"yes";4
"110";1;11;"2t";-12,7956238141102;"no";4
"111";1;12;"3";-176,27556707262;"no";1
"112";1;13;"30";-168,012087687811;"no";1
"113";1;14;"31";14,5489168987386;"yes";5
"114";1;15;"33";-14,0137888066729;"yes";4
"115";1;16;"35";13,8376359153582;"no";5
"116";1;17;"37";138,632944316937;"no";8
"117";1;18;"38";101,763080057106;"no";7
"118";1;19;"3t";0;"yes";4
"119";1;20;"4";12,3827529712855;"no";5
"120";1;21;"45";132,246118018845;"yes";7
"121";1;22;"47";129,022712234067;"yes";7
"122";1;23;"50";-175,967454424222;"yes";1
"123";1;24;"52";169,727693840383;"yes";8
"124";1;25;"53";-23,0485949183364;"yes";4
"125";1;26;"59";-116,585839377512;"yes";2
"126";1;27;"5t";-22,9062028297679;"yes";4
"127";1;28;"61";-85,3581460945217;"no";3
"128";1;29;"64";-20,0949929572843;"yes";4
"129";1;30;"67";-57,6497334031408;"yes";3
"130";1;31;"6t";109,903377583288;"yes";7
"131";1;32;"8";121,273145902838;"yes";7
