"";"segment.id";"aoi.id";"aoi.name";"track.id";"track.name";"segment.time";"segment.dist";"stops.nb";"id.start";"id.end";"time.start";"time.end"
"1";1;"5";"Quarter_Mu";"10";"Malia_track_points_10";10,3333333333333;276,342994760831;2;1336;1645;"2018-09-26 09:12:04";"2018-09-26 09:22:22"
"2";1;"5";"Quarter_Mu";"11";"Malia_track_points_11";7,66666666666667;254,529860237623;2;1210;1439;"2018-09-26 09:27:00";"2018-09-26 09:34:38"
"3";1;"5";"Quarter_Mu";"12";"Malia_track_points_12";11,3666666666667;250,44552604028;2;1731;2071;"2018-09-26 09:20:47";"2018-09-26 09:32:07"
"4";1;"5";"Quarter_Mu";"13";"Malia_track_points_13";14,0666666666667;307,515605305783;3;1969;2390;"2018-09-26 09:59:21";"2018-09-26 10:13:23"
"5";1;"5";"Quarter_Mu";"14";"Malia_track_points_14";6,46666666666667;201,422578884845;1;867;1060;"2018-09-26 10:14:47";"2018-09-26 10:21:13"
"6";1;"5";"Quarter_Mu";"16";"Malia_track_points_16";9,06666666666667;310,544743174056;0;333;604;"2018-09-26 10:31:18";"2018-09-26 10:40:20"
"7";1;"5";"Quarter_Mu";"17";"Malia_track_points_17";7,66666666666667;271,035699765665;1;220;449;"2018-09-26 10:55:48";"2018-09-26 11:03:26"
"8";1;"5";"Quarter_Mu";"18";"Malia_track_points_18";10,2666666666667;271,550862563793;4;243;550;"2018-09-26 11:14:38";"2018-09-26 11:24:52"
"9";1;"5";"Quarter_Mu";"19";"Malia_track_points_19";5,23333333333333;240,742366311074;1;216;372;"2018-09-26 11:53:34";"2018-09-26 11:58:46"
"10";1;"5";"Quarter_Mu";"2";"Malia_track_points_2";6,73333333333333;255,355545132798;2;296;497;"2018-09-25 09:30:44";"2018-09-25 09:37:26"
"11";1;"5";"Quarter_Mu";"21";"Malia_track_points_21";8,73333333333333;254,619390667016;4;937;1198;"2018-09-26 12:15:13";"2018-09-26 12:23:55"
"12";1;"5";"Quarter_Mu";"23";"Malia_track_points_23";7,03333333333333;232,274318229644;1;1291;1501;"2018-09-26 13:28:58";"2018-09-26 13:35:58"
"13";1;"5";"Quarter_Mu";"24";"Malia_track_points_24";7,18333333333333;241,844013485033;3;119;333;"2018-09-26 14:04:55";"2018-09-26 14:12:04"
"14";1;"5";"Quarter_Mu";"25";"Malia_track_points_25";4,56666666666667;223,716812336534;0;708;844;"2018-09-26 14:19:26";"2018-09-26 14:23:58"
"15";1;"5";"Quarter_Mu";"26";"Malia_track_points_26";6,73333333333333;241,878731964747;1;2313;2514;"2018-09-26 14:50:44";"2018-09-26 14:57:26"
"16";1;"5";"Quarter_Mu";"27";"Malia_track_points_27";9,56666666666667;246,698200675777;3;641;927;"2018-09-27 08:03:06";"2018-09-27 08:12:38"
"17";1;"5";"Quarter_Mu";"28";"Malia_track_points_28";6,53333333333333;235,160172050192;0;1193;1388;"2018-09-27 08:19:40";"2018-09-27 08:26:10"
"18";1;"5";"Quarter_Mu";"29";"Malia_track_points_29";9,96666666666667;289,754411271913;3;1610;1908;"2018-09-27 08:20:46";"2018-09-27 08:30:42"
"19";1;"5";"Quarter_Mu";"2t";"Malia_track_points_2t";5,43333333333333;243,478915013933;0;792;954;"2018-08-28 15:43:07";"2018-08-28 15:48:31"
"20";1;"5";"Quarter_Mu";"30";"Malia_track_points_30";8,06666666666667;260,193101721588;0;609;850;"2018-09-27 08:09:16";"2018-09-27 08:17:18"
"21";1;"5";"Quarter_Mu";"31";"Malia_track_points_31";9,8;278,848545983303;0;1434;1727;"2018-09-27 09:21:11";"2018-09-27 09:30:57"
"22";1;"5";"Quarter_Mu";"32";"Malia_track_points_32";9,53333333333333;263,110386830572;1;1678;1963;"2018-09-27 09:40:15";"2018-09-27 09:49:45"
"23";1;"5";"Quarter_Mu";"33";"Malia_track_points_33";12,4666666666667;257,648222988531;3;1950;2323;"2018-09-27 09:52:51";"2018-09-27 10:05:17"
"24";1;"5";"Quarter_Mu";"34";"Malia_track_points_34";10,2166666666667;298,45737742256;2;1720;2025;"2018-09-27 10:44:32";"2018-09-27 10:54:43"
"25";1;"5";"Quarter_Mu";"35";"Malia_track_points_35";7,03333333333333;265,464282472636;0;3732;3942;"2018-09-27 11:18:52";"2018-09-27 11:25:52"
"26";1;"5";"Quarter_Mu";"36";"Malia_track_points_36";11,1666666666667;266,30664552994;2;192;526;"2018-09-27 10:29:30";"2018-09-27 10:40:38"
"27";1;"5";"Quarter_Mu";"37";"Malia_track_points_37";6,83333333333333;305,789584285502;0;219;423;"2018-09-27 11:27:53";"2018-09-27 11:34:41"
"28";1;"5";"Quarter_Mu";"38";"Malia_track_points_38";7,9;230,356477576382;0;1520;1756;"2018-09-27 12:33:12";"2018-09-27 12:41:04"
"29";1;"5";"Quarter_Mu";"39";"Malia_track_points_39";4,33333333333333;147,195059607756;1;228;357;"2018-09-27 12:28:44";"2018-09-27 12:33:02"
"30";1;"5";"Quarter_Mu";"3t";"Malia_track_points_3t";5,4;254,01533357171;0;766;927;"2018-08-29 15:02:42";"2018-08-29 15:08:04"
"31";1;"5";"Quarter_Mu";"4";"Malia_track_points_4";7,2;253,431119094755;0;541;756;"2018-09-25 10:18:59";"2018-09-25 10:26:09"
"32";1;"5";"Quarter_Mu";"40";"Malia_track_points_40";8,6;266,541070038455;2;900;1157;"2018-09-27 13:00:29";"2018-09-27 13:09:03"
"33";1;"5";"Quarter_Mu";"41";"Malia_track_points_41";13,1333333333333;312,479774187127;4;1405;1798;"2018-09-27 13:01:36";"2018-09-27 13:14:42"
"34";1;"5";"Quarter_Mu";"42";"Malia_track_points_42";10,5666666666667;264,673797194137;4;182;498;"2018-09-28 13:17:00";"2018-09-28 13:27:32"
"35";1;"5";"Quarter_Mu";"43";"Malia_track_points_43";7,83333333333333;225,36187387779;1;473;707;"2018-09-28 13:15:59";"2018-09-28 13:23:47"
"36";1;"5";"Quarter_Mu";"44";"Malia_track_points_44";9,3;250,194020163396;3;320;598;"2018-09-28 13:33:10";"2018-09-28 13:42:26"
"37";1;"5";"Quarter_Mu";"47";"Malia_track_points_47";8,73333333333333;249,680684268698;2;741;1002;"2018-09-29 07:59:42";"2018-09-29 08:08:24"
"38";1;"5";"Quarter_Mu";"48";"Malia_track_points_48";15,9333333333333;269,537165946674;3;826;1303;"2018-09-29 08:22:19";"2018-09-29 08:38:13"
