"";"azimut.class";"prior";"azimut.name";"1";"2";"3";"4"
"1";1;"no";"OSO";0,015625;NA;0,0606060606060606;0,0625
"2";1;"yes";"OSO";0,015625;0,015625;0,0303030303030303;0,03125
"3";2;"no";"SSO";0,0625;0,171875;NA;0,03125
"4";2;"yes";"SSO";0,09375;0,171875;0,0909090909090909;0,03125
"5";3;"no";"SSE";0,125;0,03125;0,121212121212121;0,03125
"6";3;"yes";"SSE";0,15625;0,0625;0,151515151515152;0,03125
"7";4;"no";"ESE";0,078125;0,046875;0,121212121212121;0,15625
"8";4;"yes";"ESE";0,03125;0,0625;0,0909090909090909;0,28125
"9";5;"no";"ENE";0,0625;0,046875;NA;0,09375
"10";5;"yes";"ENE";0,0625;0,046875;NA;0,03125
"11";6;"no";"NNE";0,015625;0,09375;NA;NA
"12";6;"yes";"NNE";0,09375;0,09375;0,0303030303030303;NA
"13";7;"no";"NNO";0,125;0,03125;0,0303030303030303;0,03125
"14";7;"yes";"NNO";0,046875;NA;0,0606060606060606;0,125
"15";8;"no";"ONO";0,015625;0,078125;0,121212121212121;0,03125
"16";8;"yes";"ONO";NA;0,046875;0,0909090909090909;0,03125
