"";"azimut.class";"prior";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;"no";1;0,015625;1;"OSO"
"2";1;"yes";1;0,015625;1;"OSO"
"3";2;"no";4;0,0625;1;"SSO"
"4";2;"yes";6;0,09375;1;"SSO"
"5";3;"no";8;0,125;1;"SSE"
"6";3;"yes";10;0,15625;1;"SSE"
"7";4;"no";5;0,078125;1;"ESE"
"8";4;"yes";2;0,03125;1;"ESE"
"9";5;"no";4;0,0625;1;"ENE"
"10";5;"yes";4;0,0625;1;"ENE"
"11";6;"no";1;0,015625;1;"NNE"
"12";6;"yes";6;0,09375;1;"NNE"
"13";7;"no";8;0,125;1;"NNO"
"14";7;"yes";3;0,046875;1;"NNO"
"15";8;"no";1;0,015625;1;"ONO"
"16";1;"yes";1;0,0303030303030303;3;"OSO"
"17";1;"no";2;0,0606060606060606;3;"OSO"
"18";2;"yes";3;0,0909090909090909;3;"SSO"
"19";3;"yes";5;0,151515151515152;3;"SSE"
"20";3;"no";4;0,121212121212121;3;"SSE"
"21";4;"no";4;0,121212121212121;3;"ESE"
"22";4;"yes";3;0,0909090909090909;3;"ESE"
"23";6;"yes";1;0,0303030303030303;3;"NNE"
"24";7;"no";1;0,0303030303030303;3;"NNO"
"25";7;"yes";2;0,0606060606060606;3;"NNO"
"26";8;"yes";3;0,0909090909090909;3;"ONO"
"27";8;"no";4;0,121212121212121;3;"ONO"
"28";1;"yes";1;0,015625;2;"OSO"
"29";2;"no";11;0,171875;2;"SSO"
"30";2;"yes";11;0,171875;2;"SSO"
"31";3;"no";2;0,03125;2;"SSE"
"32";3;"yes";4;0,0625;2;"SSE"
"33";4;"no";3;0,046875;2;"ESE"
"34";4;"yes";4;0,0625;2;"ESE"
"35";5;"no";3;0,046875;2;"ENE"
"36";5;"yes";3;0,046875;2;"ENE"
"37";6;"no";6;0,09375;2;"NNE"
"38";6;"yes";6;0,09375;2;"NNE"
"39";7;"no";2;0,03125;2;"NNO"
"40";8;"no";5;0,078125;2;"ONO"
"41";8;"yes";3;0,046875;2;"ONO"
"42";1;"no";2;0,0625;4;"OSO"
"43";1;"yes";1;0,03125;4;"OSO"
"44";2;"no";1;0,03125;4;"SSO"
"45";2;"yes";1;0,03125;4;"SSO"
"46";3;"no";1;0,03125;4;"SSE"
"47";3;"yes";1;0,03125;4;"SSE"
"48";4;"yes";9;0,28125;4;"ESE"
"49";4;"no";5;0,15625;4;"ESE"
"50";5;"no";3;0,09375;4;"ENE"
"51";5;"yes";1;0,03125;4;"ENE"
"52";7;"no";1;0,03125;4;"NNO"
"53";7;"yes";4;0,125;4;"NNO"
"54";8;"no";1;0,03125;4;"ONO"
"55";8;"yes";1;0,03125;4;"ONO"
